170,10,190,10,190,26,170,26
194,9,233,20,228,38,189,27
104,26,149,12,153,28,109,41
230,25,257,25,257,48,230,48
89,28,105,28,105,46,89,46
60,56,85,35,96,49,71,70
175,37,237,53,232,69,171,53
260,37,290,61,279,73,250,50
124,51,160,42,164,56,128,65
89,73,121,53,129,66,97,87
239,55,270,79,258,94,227,70
58,56,74,68,35,117,20,105
278,70,296,61,312,93,294,102
84,81,96,81,96,93,84,93
255,90,272,80,300,128,282,138
74,88,93,97,64,155,45,146
297,98,313,92,331,138,315,144
19,111,38,115,25,166,7,162
282,133,298,132,302,170,286,171
313,144,328,144,328,164,313,164
46,155,65,153,70,208,51,210
317,164,332,167,322,223,307,220
14,168,28,168,28,188,14,188
288,171,305,175,297,207,280,202
11,194,28,187,43,223,26,230
282,200,300,209,284,241,266,232
58,213,77,206,89,241,70,248
297,224,320,224,320,249,297,249
24,231,38,223,56,254,43,262
268,229,283,241,260,270,245,257
87,235,128,271,114,287,73,252
267,270,298,243,312,258,280,286
49,256,72,256,72,282,49,282
209,274,250,255,257,271,216,290
125,268,155,281,147,299,117,287
201,306,273,270,284,292,212,328
69,276,86,276,86,293,69,293
151,281,211,278,212,294,152,297
87,285,150,309,144,326,81,302
148,310,206,308,207,324,149,326
